time,lon,lat,slp,wsp,sfc_phi,tempest_ID,miami_dist,ss_wsp,ss_mslp
2014-10-12 12:00:00,290.664146,32.546272,100653.2,28.35538,0.0,storm_1521,1295.46,Tropical Storm,Tropical Depression
2014-10-13 12:00:00,283.515025,29.984152,100506.6,26.45801,0.0,storm_1521,594.03,Tropical Storm,Tropical Depression
2014-10-13 18:00:00,282.207806,28.77341,100022.0,27.5105,0.0,storm_1521,410.07,Tropical Storm,Tropical Depression
2014-10-14 00:00:00,281.651927,27.672575,99957.79,21.89808,0.0,storm_1521,280.45,Tropical Storm,Tropical Storm
2014-10-14 06:00:00,281.439705,27.251072,100178.0,22.05834,0.0,storm_1521,232.01,Tropical Storm,Tropical Depression
2014-10-14 12:00:00,281.293443,26.878842,100356.5,18.13401,0.0,storm_1521,193.57,Tropical Storm,Tropical Depression
2014-10-14 18:00:00,280.688395,26.943745,100488.6,18.06547,0.0,storm_1521,157.71,Tropical Storm,Tropical Depression
2014-10-15 00:00:00,280.413215,26.732624,100500.3,18.90466,0.0,storm_1521,123.21,Tropical Storm,Tropical Depression
2014-10-15 06:00:00,279.73031,26.893005,100284.6,24.01902,39.24,storm_1521,124.45,Tropical Storm,Tropical Depression
2014-10-15 12:00:00,279.123545,26.415807,100425.7,14.58295,39.24,storm_1521,97.58,Tropical Depression,Tropical Depression
2014-10-15 18:00:00,278.853828,26.201581,100823.8,12.84388,58.86,storm_1521,105.02,Tropical Depression,Tropical Depression
2014-10-16 00:00:00,279.589729,26.519099,100576.7,16.4635,39.24,storm_1521,85.14,Tropical Depression,Tropical Depression
2014-10-16 06:00:00,279.290737,26.547951,100167.3,17.95311,39.24,storm_1521,99.4,Tropical Storm,Tropical Depression
2014-10-16 12:00:00,280.067918,27.155679,100447.4,19.35404,0.0,storm_1521,155.95,Tropical Storm,Tropical Depression
2014-10-16 18:00:00,280.379129,27.660156,100165.5,26.17044,0.0,storm_1521,217.58,Tropical Storm,Tropical Depression
2014-10-17 00:00:00,280.644608,28.556865,99399.27,30.56383,0.0,storm_1521,320.62,Tropical Storm,Tropical Storm
2014-10-17 06:00:00,280.957841,29.060321,99328.53,29.17101,0.0,storm_1521,383.0,Tropical Storm,Tropical Storm
2014-10-17 12:00:00,280.131979,30.363504,98717.15,38.73344,0.0,storm_1521,511.29,Category 1,Category 1
2014-10-17 18:00:00,279.837407,31.550453,98042.05,39.13548,0.0,storm_1521,642.2,Category 1,Category 1
2014-10-18 00:00:00,279.550363,31.873262,98410.88,30.29747,0.0,storm_1521,678.48,Tropical Storm,Category 1
2014-10-18 06:00:00,278.640203,32.877777,99124.91,21.45771,428.1854,storm_1521,797.6,Tropical Storm,Tropical Storm
2014-10-18 12:00:00,278.418992,33.429485,99657.68,16.84254,1080.144,storm_1521,861.37,Tropical Depression,Tropical Storm
2014-10-18 18:00:00,278.55752,34.094661,100094.2,11.85618,1146.774,storm_1521,932.67,Tropical Depression,Tropical Depression
2014-10-19 00:00:00,279.440057,36.511691,100188.8,8.741601,3678.929,storm_1521,1194.31,Tropical Depression,Tropical Depression
2014-10-19 06:00:00,278.810467,38.811408,100058.4,10.87289,2873.864,storm_1521,1452.47,Tropical Depression,Tropical Depression
2014-10-19 12:00:00,278.483352,40.633919,100070.1,15.72098,3081.698,storm_1521,1656.64,Tropical Depression,Tropical Depression
2014-10-19 18:00:00,277.82057,42.232686,100347.2,14.3118,1850.604,storm_1521,1838.84,Tropical Depression,Tropical Depression
2014-10-20 00:00:00,277.766954,43.537813,100643.9,14.13775,1221.851,storm_1521,1983.61,Tropical Depression,Tropical Depression
2014-10-20 06:00:00,277.727088,44.273654,100705.6,12.80788,822.2983,storm_1521,2065.33,Tropical Depression,Tropical Depression
2014-10-20 12:00:00,277.836681,45.410666,100677.7,12.36328,616.4489,storm_1521,2190.34,Tropical Depression,Tropical Depression
