time,lon,lat,slp,wsp,sfc_phi,tempest_ID,miami_dist,ss_wsp,ss_mslp
2013-09-04 12:00:00,299.463367,19.817532,100811.5,17.92508,0.0,storm_1354,2119.84,Tropical Storm,Tropical Depression
2013-09-04 18:00:00,298.222773,19.923004,100723.8,13.47572,0.0,storm_1354,1995.25,Tropical Depression,Tropical Depression
2013-09-05 00:00:00,297.847613,20.270008,100707.4,14.57997,0.0,storm_1354,1944.44,Tropical Depression,Tropical Depression
2013-09-05 06:00:00,296.905241,20.946384,100666.4,16.91321,0.0,storm_1354,1825.88,Tropical Depression,Tropical Depression
2013-09-05 12:00:00,295.839486,21.548235,100733.1,16.19865,0.0,storm_1354,1699.29,Tropical Depression,Tropical Depression
2013-09-05 18:00:00,295.046423,21.964111,100692.9,18.25479,0.0,storm_1354,1606.88,Tropical Storm,Tropical Depression
2013-09-06 00:00:00,294.133639,22.699744,100630.5,16.95099,0.0,storm_1354,1492.98,Tropical Depression,Tropical Depression
2013-09-06 06:00:00,292.600547,23.549557,100622.9,18.80789,0.0,storm_1354,1317.25,Tropical Storm,Tropical Depression
2013-09-06 12:00:00,291.860273,24.232677,100618.7,25.2058,0.0,storm_1354,1227.8,Tropical Storm,Tropical Depression
2013-09-06 18:00:00,290.441397,24.491713,100575.2,24.8131,0.0,storm_1354,1081.25,Tropical Storm,Tropical Depression
2013-09-07 00:00:00,289.330781,24.684509,100533.1,24.53707,0.0,storm_1354,966.95,Tropical Storm,Tropical Depression
2013-09-07 06:00:00,288.404288,24.987401,100484.3,25.08719,0.0,storm_1354,869.53,Tropical Storm,Tropical Depression
2013-09-07 12:00:00,287.896112,25.309977,100228.5,29.90918,0.0,storm_1354,814.64,Tropical Storm,Tropical Depression
2013-09-07 18:00:00,287.274382,25.555861,99540.0,33.70999,0.0,storm_1354,750.27,Category 1,Tropical Storm
2013-09-08 00:00:00,286.967723,25.602647,99791.3,24.27223,0.0,storm_1354,719.27,Tropical Storm,Tropical Storm
2013-09-08 06:00:00,286.63684,26.041578,99889.67,26.4988,0.0,storm_1354,685.24,Tropical Storm,Tropical Storm
2013-09-08 12:00:00,285.995754,26.524202,99620.57,31.04289,0.0,storm_1354,624.79,Tropical Storm,Tropical Storm
2013-09-08 18:00:00,285.577732,26.491717,99420.73,28.04799,0.0,storm_1354,583.05,Tropical Storm,Tropical Storm
2013-09-09 00:00:00,285.44932,26.65814,99624.97,25.06491,0.0,storm_1354,572.84,Tropical Storm,Tropical Storm
2013-09-09 06:00:00,285.062531,26.803185,99521.84,27.27919,0.0,storm_1354,537.74,Tropical Storm,Tropical Storm
2013-09-09 12:00:00,284.59779,26.477516,99398.04,27.57701,0.0,storm_1354,486.12,Tropical Storm,Tropical Storm
2013-09-09 18:00:00,284.292267,26.517952,98783.73,34.61788,0.0,storm_1354,456.76,Category 1,Category 1
